year,state,county_name,candidate,candidatevotes,rn
2020,WISCONSIN,WAUKESHA,JOSEPH R BIDEN JR,103906,2
2000,WISCONSIN,WAUPACA,GEORGE W. BUSH,12980,1
2000,WISCONSIN,WAUPACA,AL GORE,8787,2
2004,WISCONSIN,WAUPACA,GEORGE W. BUSH,15941,1
2004,WISCONSIN,WAUPACA,JOHN KERRY,10792,2
2008,WISCONSIN,WAUPACA,BARACK OBAMA,12952,1
2008,WISCONSIN,WAUPACA,JOHN MCCAIN,12232,2
2012,WISCONSIN,WAUPACA,MITT ROMNEY,17002,1
2012,WISCONSIN,WAUPACA,BARACK OBAMA,11578,2
2016,WISCONSIN,WAUPACA,DONALD TRUMP,16189,1
2016,WISCONSIN,WAUPACA,HILLARY CLINTON,8440,2
2020,WISCONSIN,WAUPACA,DONALD J TRUMP,18952,1
2020,WISCONSIN,WAUPACA,JOSEPH R BIDEN JR,9703,2
2000,WISCONSIN,WAUSHARA,GEORGE W. BUSH,5571,1
2000,WISCONSIN,WAUSHARA,AL GORE,4239,2
2004,WISCONSIN,WAUSHARA,GEORGE W. BUSH,6888,1
2004,WISCONSIN,WAUSHARA,JOHN KERRY,5257,2
2008,WISCONSIN,WAUSHARA,BARACK OBAMA,5868,1
2008,WISCONSIN,WAUSHARA,JOHN MCCAIN,5770,2
2012,WISCONSIN,WAUSHARA,MITT ROMNEY,6562,1
2012,WISCONSIN,WAUSHARA,BARACK OBAMA,5335,2
2016,WISCONSIN,WAUSHARA,DONALD TRUMP,7669,1
2016,WISCONSIN,WAUSHARA,HILLARY CLINTON,3792,2
2020,WISCONSIN,WAUSHARA,DONALD J TRUMP,9016,1
2020,WISCONSIN,WAUSHARA,JOSEPH R BIDEN JR,4388,2
2000,MICHIGAN,WAYNE,AL GORE,530414,1
2000,MICHIGAN,WAYNE,GEORGE W. BUSH,223021,2
2004,MICHIGAN,WAYNE,JOHN KERRY,600047,1
2004,MICHIGAN,WAYNE,GEORGE W. BUSH,257750,2
2008,MICHIGAN,WAYNE,BARACK OBAMA,660085,1
2008,MICHIGAN,WAYNE,JOHN MCCAIN,219582,2
2012,MICHIGAN,WAYNE,BARACK OBAMA,595846,1
2012,MICHIGAN,WAYNE,MITT ROMNEY,213814,2
2016,MICHIGAN,WAYNE,HILLARY CLINTON,519444,1
2016,MICHIGAN,WAYNE,DONALD TRUMP,228993,2
2020,MICHIGAN,WAYNE,JOSEPH R BIDEN JR,597170,1
2020,MICHIGAN,WAYNE,DONALD J TRUMP,264553,2
2000,VIRGINIA,WAYNESBORO,GEORGE W. BUSH,4084,1
2000,VIRGINIA,WAYNESBORO,AL GORE,2737,2
2004,VIRGINIA,WAYNESBORO,GEORGE W. BUSH,5092,1
2004,VIRGINIA,WAYNESBORO,JOHN KERRY,2792,2
2008,VIRGINIA,WAYNESBORO,JOHN MCCAIN,4815,1
2008,VIRGINIA,WAYNESBORO,BARACK OBAMA,3906,2
2012,VIRGINIA,WAYNESBORO,MITT ROMNEY,4790,1
2012,VIRGINIA,WAYNESBORO,BARACK OBAMA,3840,2
2016,VIRGINIA,WAYNESBORO,DONALD TRUMP,4801,1
2016,VIRGINIA,WAYNESBORO,HILLARY CLINTON,3764,2
2020,VIRGINIA,WAYNESBORO CITY,JOSEPH R BIDEN JR,3799,1
2020,VIRGINIA,WAYNESBORO CITY,DONALD J TRUMP,2866,2
2000,TENNESSEE,WEAKLEY,GEORGE W. BUSH,6106,1
2000,TENNESSEE,WEAKLEY,AL GORE,5570,2
2004,TENNESSEE,WEAKLEY,GEORGE W. BUSH,7816,1
2004,TENNESSEE,WEAKLEY,JOHN KERRY,5584,2
2008,TENNESSEE,WEAKLEY,JOHN MCCAIN,8855,1
2008,TENNESSEE,WEAKLEY,BARACK OBAMA,4596,2
2012,TENNESSEE,WEAKLEY,MITT ROMNEY,8605,1
2012,TENNESSEE,WEAKLEY,BARACK OBAMA,3548,2
2016,TENNESSEE,WEAKLEY,DONALD TRUMP,9008,1
2016,TENNESSEE,WEAKLEY,HILLARY CLINTON,2772,2
2020,TENNESSEE,WEAKLEY,DONALD J TRUMP,10396,1
2020,TENNESSEE,WEAKLEY,JOSEPH R BIDEN JR,3020,2
2000,TEXAS,WEBB,AL GORE,18120,1
2000,TEXAS,WEBB,GEORGE W. BUSH,13076,2
2004,TEXAS,WEBB,JOHN KERRY,23654,1
2004,TEXAS,WEBB,GEORGE W. BUSH,17753,2
2008,TEXAS,WEBB,BARACK OBAMA,33452,1
2008,TEXAS,WEBB,JOHN MCCAIN,13119,2
2012,TEXAS,WEBB,BARACK OBAMA,37597,1
2012,TEXAS,WEBB,MITT ROMNEY,11078,2
2016,TEXAS,WEBB,HILLARY CLINTON,42307,1
2016,TEXAS,WEBB,DONALD TRUMP,12947,2
2020,TEXAS,WEBB,JOSEPH R BIDEN JR,41820,1
2020,TEXAS,WEBB,DONALD J TRUMP,25898,2
2000,UTAH,WEBER,GEORGE W. BUSH,39254,1
2000,UTAH,WEBER,AL GORE,19890,2
2004,UTAH,WEBER,GEORGE W. BUSH,51199,1
2004,UTAH,WEBER,JOHN KERRY,19862,2
2008,UTAH,WEBER,JOHN MCCAIN,45885,1
2008,UTAH,WEBER,BARACK OBAMA,25666,2
2012,UTAH,WEBER,MITT ROMNEY,54224,1
2012,UTAH,WEBER,BARACK OBAMA,19841,2
2016,UTAH,WEBER,DONALD TRUMP,40235,1
2016,UTAH,WEBER,HILLARY CLINTON,23131,2
2020,UTAH,WEBER,DONALD J TRUMP,65949,1
2020,UTAH,WEBER,JOSEPH R BIDEN JR,40695,2
2000,LOUISIANA,WEBSTER,GEORGE W. BUSH,9420,1
2000,IOWA,WEBSTER,AL GORE,8479,2
2004,LOUISIANA,WEBSTER,GEORGE W. BUSH,11070,1
2004,MISSOURI,WEBSTER,GEORGE W. BUSH,10194,2
2008,LOUISIANA,WEBSTER,JOHN MCCAIN,11417,1
2008,MISSOURI,WEBSTER,JOHN MCCAIN,10431,2
2012,LOUISIANA,WEBSTER,MITT ROMNEY,11400,1
2012,MISSOURI,WEBSTER,MITT ROMNEY,10708,2
2016,MISSOURI,WEBSTER,DONALD TRUMP,12840,1
2016,LOUISIANA,WEBSTER,DONALD TRUMP,11542,2
2020,MISSOURI,WEBSTER,DONALD J TRUMP,14880,1
2020,LOUISIANA,WEBSTER,DONALD J TRUMP,11830,2
2000,COLORADO,WELD,GEORGE W. BUSH,37409,1
2000,COLORADO,WELD,AL GORE,23436,2
2004,COLORADO,WELD,GEORGE W. BUSH,55591,1
2004,COLORADO,WELD,JOHN KERRY,31868,2
2008,COLORADO,WELD,JOHN MCCAIN,56526,1
2008,COLORADO,WELD,BARACK OBAMA,47292,2
2012,COLORADO,WELD,MITT ROMNEY,63775,1
2012,COLORADO,WELD,BARACK OBAMA,49050,2
2016,COLORADO,WELD,DONALD TRUMP,76651,1
2016,COLORADO,WELD,HILLARY CLINTON,46519,2
2020,COLORADO,WELD,DONALD J TRUMP,96145,1
2020,COLORADO,WELD,JOSEPH R BIDEN JR,66060,2
2000,INDIANA,WELLS,GEORGE W. BUSH,7755,1
2000,INDIANA,WELLS,AL GORE,3319,2
2004,INDIANA,WELLS,GEORGE W. BUSH,9168,1
2004,INDIANA,WELLS,JOHN KERRY,3112,2
2008,INDIANA,WELLS,JOHN MCCAIN,8504,1
2008,INDIANA,WELLS,BARACK OBAMA,4403,2
2012,INDIANA,WELLS,MITT ROMNEY,9256,1
2012,INDIANA,WELLS,BARACK OBAMA,3436,2
2016,INDIANA,WELLS,DONALD TRUMP,10005,1
2016,INDIANA,WELLS,HILLARY CLINTON,2586,2
2020,INDIANA,WELLS,DONALD J TRUMP,10855,1
2020,INDIANA,WELLS,JOSEPH R BIDEN JR,2928,2
2000,LOUISIANA,WEST BATON ROUGE,AL GORE,5058,1
2000,LOUISIANA,WEST BATON ROUGE,GEORGE W. BUSH,4924,2
2004,LOUISIANA,WEST BATON ROUGE,GEORGE W. BUSH,5822,1
2004,LOUISIANA,WEST BATON ROUGE,JOHN KERRY,4932,2
2008,LOUISIANA,WEST BATON ROUGE,JOHN MCCAIN,6654,1
2008,LOUISIANA,WEST BATON ROUGE,BARACK OBAMA,5043,2
2012,LOUISIANA,WEST BATON ROUGE,MITT ROMNEY,6922,1
2012,LOUISIANA,WEST BATON ROUGE,BARACK OBAMA,5692,2
2016,LOUISIANA,WEST BATON ROUGE,DONALD TRUMP,6927,1
2016,LOUISIANA,WEST BATON ROUGE,HILLARY CLINTON,5383,2
2020,LOUISIANA,WEST BATON ROUGE,DONALD J TRUMP,7684,1
2020,LOUISIANA,WEST BATON ROUGE,JOSEPH R BIDEN JR,6200,2
2000,LOUISIANA,WEST CARROLL,GEORGE W. BUSH,3220,1
2000,LOUISIANA,WEST CARROLL,AL GORE,1319,2
2004,LOUISIANA,WEST CARROLL,GEORGE W. BUSH,3740,1
2004,LOUISIANA,WEST CARROLL,JOHN KERRY,1231,2
2008,LOUISIANA,WEST CARROLL,JOHN MCCAIN,4045,1
2008,LOUISIANA,WEST CARROLL,BARACK OBAMA,878,2
2012,LOUISIANA,WEST CARROLL,MITT ROMNEY,3628,1
2012,LOUISIANA,WEST CARROLL,BARACK OBAMA,853,2
2016,LOUISIANA,WEST CARROLL,DONALD TRUMP,3970,1
2016,LOUISIANA,WEST CARROLL,HILLARY CLINTON,715,2
2020,LOUISIANA,WEST CARROLL,DONALD J TRUMP,4317,1
2020,LOUISIANA,WEST CARROLL,JOSEPH R BIDEN JR,710,2
2000,LOUISIANA,WEST FELICIANA,GEORGE W. BUSH,2512,1
2000,LOUISIANA,WEST FELICIANA,AL GORE,2187,2
2004,LOUISIANA,WEST FELICIANA,GEORGE W. BUSH,2932,1
2004,LOUISIANA,WEST FELICIANA,JOHN KERRY,2214,2
2008,LOUISIANA,WEST FELICIANA,JOHN MCCAIN,3149,1
2008,LOUISIANA,WEST FELICIANA,BARACK OBAMA,2414,2
2012,LOUISIANA,WEST FELICIANA,MITT ROMNEY,3257,1
2012,LOUISIANA,WEST FELICIANA,BARACK OBAMA,2441,2
2016,LOUISIANA,WEST FELICIANA,DONALD TRUMP,3390,1
2016,LOUISIANA,WEST FELICIANA,HILLARY CLINTON,2248,2
2020,LOUISIANA,WEST FELICIANA,DONALD J TRUMP,3863,1
2020,LOUISIANA,WEST FELICIANA,JOSEPH R BIDEN JR,2298,2
2000,NEW YORK,WESTCHESTER,AL GORE,218010,1
2000,NEW YORK,WESTCHESTER,GEORGE W. BUSH,139278,2
2004,NEW YORK,WESTCHESTER,JOHN KERRY,224992,1
2004,NEW YORK,WESTCHESTER,GEORGE W. BUSH,151261,2
2008,NEW YORK,WESTCHESTER,BARACK OBAMA,261810,1
2008,NEW YORK,WESTCHESTER,JOHN MCCAIN,147824,2
2012,NEW YORK,WESTCHESTER,BARACK OBAMA,234778,1
2012,NEW YORK,WESTCHESTER,MITT ROMNEY,131139,2
2016,NEW YORK,WESTCHESTER,HILLARY CLINTON,272926,1
2016,NEW YORK,WESTCHESTER,DONALD TRUMP,131238,2
2020,NEW YORK,WESTCHESTER,JOSEPH R BIDEN JR,312371,1
2020,NEW YORK,WESTCHESTER,DONALD J TRUMP,144713,2
2000,PENNSYLVANIA,WESTMORELAND,GEORGE W. BUSH,80858,1
2000,PENNSYLVANIA,WESTMORELAND,AL GORE,71792,2
2004,PENNSYLVANIA,WESTMORELAND,GEORGE W. BUSH,100087,1
2004,PENNSYLVANIA,WESTMORELAND,JOHN KERRY,77774,2
2008,PENNSYLVANIA,WESTMORELAND,JOHN MCCAIN,102294,1
2008,PENNSYLVANIA,WESTMORELAND,BARACK OBAMA,72721,2
2012,PENNSYLVANIA,WESTMORELAND,MITT ROMNEY,103932,1
2012,PENNSYLVANIA,WESTMORELAND,BARACK OBAMA,63722,2
2016,PENNSYLVANIA,WESTMORELAND,DONALD TRUMP,116522,1
2016,PENNSYLVANIA,WESTMORELAND,HILLARY CLINTON,59669,2
2020,PENNSYLVANIA,WESTMORELAND,DONALD J TRUMP,130218,1
2020,PENNSYLVANIA,WESTMORELAND,JOSEPH R BIDEN JR,72129,2
2000,WYOMING,WESTON,GEORGE W. BUSH,2521,1
2000,WYOMING,WESTON,AL GORE,449,2
2004,WYOMING,WESTON,GEORGE W. BUSH,2739,1
2004,WYOMING,WESTON,JOHN KERRY,580,2
2008,WYOMING,WESTON,JOHN MCCAIN,2618,1
2008,WYOMING,WESTON,BARACK OBAMA,658,2
2012,WYOMING,WESTON,MITT ROMNEY,2821,1
2012,WYOMING,WESTON,BARACK OBAMA,422,2
2016,WYOMING,WESTON,DONALD TRUMP,3033,1
2016,WYOMING,WESTON,HILLARY CLINTON,299,2
2020,WYOMING,WESTON,DONALD J TRUMP,3107,1
2020,WYOMING,WESTON,JOSEPH R BIDEN JR,360,2
2000,WEST VIRGINIA,WETZEL,GEORGE W. BUSH,3239,1
2000,WEST VIRGINIA,WETZEL,AL GORE,2849,2
2004,WEST VIRGINIA,WETZEL,GEORGE W. BUSH,3656,1
2004,WEST VIRGINIA,WETZEL,JOHN KERRY,3330,2
2008,WEST VIRGINIA,WETZEL,JOHN MCCAIN,3342,1
2008,WEST VIRGINIA,WETZEL,BARACK OBAMA,2942,2
2012,WEST VIRGINIA,WETZEL,MITT ROMNEY,3473,1
2012,WEST VIRGINIA,WETZEL,BARACK OBAMA,2217,2
2016,WEST VIRGINIA,WETZEL,DONALD TRUMP,4519,1
2016,WEST VIRGINIA,WETZEL,HILLARY CLINTON,1359,2
2020,WEST VIRGINIA,WETZEL,DONALD J TRUMP,4993,1
2020,WEST VIRGINIA,WETZEL,JOSEPH R BIDEN JR,1539,2
2000,MICHIGAN,WEXFORD,GEORGE W. BUSH,7215,1
2000,MICHIGAN,WEXFORD,AL GORE,5326,2
2004,MICHIGAN,WEXFORD,GEORGE W. BUSH,8966,1
2004,MICHIGAN,WEXFORD,JOHN KERRY,6034,2
2008,MICHIGAN,WEXFORD,JOHN MCCAIN,8044,1
2008,MICHIGAN,WEXFORD,BARACK OBAMA,7379,2
2012,MICHIGAN,WEXFORD,MITT ROMNEY,8450,1
2012,MICHIGAN,WEXFORD,BARACK OBAMA,6184,2
2016,MICHIGAN,WEXFORD,DONALD TRUMP,10000,1
2016,MICHIGAN,WEXFORD,HILLARY CLINTON,4436,2
2020,MICHIGAN,WEXFORD,DONALD J TRUMP,12102,1
2020,MICHIGAN,WEXFORD,JOSEPH R BIDEN JR,5838,2
2000,TEXAS,WHARTON,GEORGE W. BUSH,8455,1
2000,TEXAS,WHARTON,AL GORE,4838,2
2004,TEXAS,WHARTON,GEORGE W. BUSH,9288,1
2004,TEXAS,WHARTON,JOHN KERRY,4702,2
2008,TEXAS,WHARTON,JOHN MCCAIN,9431,1
2008,TEXAS,WHARTON,BARACK OBAMA,4937,2
2012,TEXAS,WHARTON,MITT ROMNEY,9750,1
2012,TEXAS,WHARTON,BARACK OBAMA,4235,2
2016,TEXAS,WHARTON,DONALD TRUMP,10149,1
2016,TEXAS,WHARTON,HILLARY CLINTON,4238,2
2020,TEXAS,WHARTON,DONALD J TRUMP,11926,1
2020,TEXAS,WHARTON,JOSEPH R BIDEN JR,4694,2
2000,WASHINGTON,WHATCOM,GEORGE W. BUSH,34287,1
2000,WASHINGTON,WHATCOM,AL GORE,34033,2
2004,WASHINGTON,WHATCOM,JOHN KERRY,48268,1
2004,WASHINGTON,WHATCOM,GEORGE W. BUSH,40296,2
2008,WASHINGTON,WHATCOM,BARACK OBAMA,58236,1
2008,WASHINGTON,WHATCOM,JOHN MCCAIN,40205,2
2012,WASHINGTON,WHATCOM,BARACK OBAMA,57089,1
2012,WASHINGTON,WHATCOM,MITT ROMNEY,42703,2
2016,WASHINGTON,WHATCOM,HILLARY CLINTON,60340,1
2016,WASHINGTON,WHATCOM,DONALD TRUMP,40599,2
2020,WASHINGTON,WHATCOM,JOSEPH R BIDEN JR,83660,1
2020,WASHINGTON,WHATCOM,DONALD J TRUMP,50489,2
2000,MONTANA,WHEATLAND,GEORGE W. BUSH,708,1
2000,MONTANA,WHEATLAND,AL GORE,243,2
2004,MONTANA,WHEATLAND,GEORGE W. BUSH,706,1
2004,MONTANA,WHEATLAND,JOHN KERRY,250,2
2008,MONTANA,WHEATLAND,JOHN MCCAIN,657,1
2008,MONTANA,WHEATLAND,BARACK OBAMA,289,2
2012,MONTANA,WHEATLAND,MITT ROMNEY,693,1
2012,MONTANA,WHEATLAND,BARACK OBAMA,272,2
2016,MONTANA,WHEATLAND,DONALD TRUMP,702,1
2016,MONTANA,WHEATLAND,HILLARY CLINTON,179,2
2020,MONTANA,WHEATLAND,DONALD J TRUMP,823,1
2020,MONTANA,WHEATLAND,JOSEPH R BIDEN JR,225,2
2000,TEXAS,WHEELER,GEORGE W. BUSH,1787,1
2000,GEORGIA,WHEELER,GEORGE W. BUSH,813,2
2004,TEXAS,WHEELER,GEORGE W. BUSH,1960,1
2004,GEORGIA,WHEELER,GEORGE W. BUSH,1192,2
2008,TEXAS,WHEELER,JOHN MCCAIN,1918,1
2008,GEORGIA,WHEELER,JOHN MCCAIN,1408,2
2012,TEXAS,WHEELER,MITT ROMNEY,1878,1
2012,GEORGIA,WHEELER,MITT ROMNEY,1366,2
2016,TEXAS,WHEELER,DONALD TRUMP,2087,1
2016,GEORGIA,WHEELER,DONALD TRUMP,1421,2
2020,TEXAS,WHEELER,DONALD J TRUMP,2159,1
2020,GEORGIA,WHEELER,DONALD J TRUMP,943,2
2000,ARKANSAS,WHITE,GEORGE W. BUSH,13170,1
2000,ARKANSAS,WHITE,AL GORE,8342,2
2004,ARKANSAS,WHITE,GEORGE W. BUSH,17001,1
2004,ARKANSAS,WHITE,JOHN KERRY,9129,2
2008,ARKANSAS,WHITE,JOHN MCCAIN,19467,1
2008,GEORGIA,WHITE,JOHN MCCAIN,8467,2
2012,ARKANSAS,WHITE,MITT ROMNEY,20011,1
2012,GEORGIA,WHITE,MITT ROMNEY,8651,2
2016,ARKANSAS,WHITE,DONALD TRUMP,21077,1
2016,GEORGIA,WHITE,DONALD TRUMP,9761,2
2020,ARKANSAS,WHITE,DONALD J TRUMP,15954,1
2020,TENNESSEE,WHITE,DONALD J TRUMP,9606,2
2000,NEVADA,WHITE PINE,GEORGE W. BUSH,2234,1
2000,NEVADA,WHITE PINE,AL GORE,1069,2
2004,NEVADA,WHITE PINE,GEORGE W. BUSH,2604,1
2004,NEVADA,WHITE PINE,JOHN KERRY,1082,2
2008,NEVADA,WHITE PINE,JOHN MCCAIN,2440,1
2008,NEVADA,WHITE PINE,BARACK OBAMA,1230,2
2012,NEVADA,WHITE PINE,MITT ROMNEY,2601,1
2012,NEVADA,WHITE PINE,BARACK OBAMA,983,2
2016,NEVADA,WHITE PINE,DONALD TRUMP,2723,1
2016,NEVADA,WHITE PINE,HILLARY CLINTON,707,2
2020,NEVADA,WHITE PINE,DONALD J TRUMP,3400,1
2020,NEVADA,WHITE PINE,JOSEPH R BIDEN JR,856,2
2000,ILLINOIS,WHITESIDE,AL GORE,12886,1
2000,ILLINOIS,WHITESIDE,GEORGE W. BUSH,11252,2
2004,ILLINOIS,WHITESIDE,JOHN KERRY,13723,1
2004,ILLINOIS,WHITESIDE,GEORGE W. BUSH,12959,2
2008,ILLINOIS,WHITESIDE,BARACK OBAMA,15607,1
2008,ILLINOIS,WHITESIDE,JOHN MCCAIN,10883,2
2012,ILLINOIS,WHITESIDE,BARACK OBAMA,14833,1
2012,ILLINOIS,WHITESIDE,MITT ROMNEY,10334,2
2016,ILLINOIS,WHITESIDE,DONALD TRUMP,12615,1
2016,ILLINOIS,WHITESIDE,HILLARY CLINTON,11035,2
2020,ILLINOIS,WHITESIDE,DONALD J TRUMP,14527,1
2020,ILLINOIS,WHITESIDE,JOSEPH R BIDEN JR,12253,2
2000,GEORGIA,WHITFIELD,GEORGE W. BUSH,15852,1
2000,GEORGIA,WHITFIELD,AL GORE,7034,2
2004,GEORGIA,WHITFIELD,GEORGE W. BUSH,19297,1
2004,GEORGIA,WHITFIELD,JOHN KERRY,6933,2
2008,GEORGIA,WHITFIELD,JOHN MCCAIN,19230,1
2008,GEORGIA,WHITFIELD,BARACK OBAMA,8167,2
2012,GEORGIA,WHITFIELD,MITT ROMNEY,19305,1
2012,GEORGIA,WHITFIELD,BARACK OBAMA,7210,2
2016,GEORGIA,WHITFIELD,DONALD TRUMP,21537,1
2016,GEORGIA,WHITFIELD,HILLARY CLINTON,7937,2
2020,GEORGIA,WHITFIELD,DONALD J TRUMP,13084,1
2020,GEORGIA,WHITFIELD,DONALD J TRUMP,8963,2
2000,INDIANA,WHITLEY,GEORGE W. BUSH,8080,1
2000,KENTUCKY,WHITLEY,GEORGE W. BUSH,7502,2
2004,KENTUCKY,WHITLEY,GEORGE W. BUSH,9559,1
2004,INDIANA,WHITLEY,GEORGE W. BUSH,9512,2
2008,KENTUCKY,WHITLEY,JOHN MCCAIN,10015,1
2008,INDIANA,WHITLEY,JOHN MCCAIN,9124,2
2012,INDIANA,WHITLEY,MITT ROMNEY,10258,1
2012,KENTUCKY,WHITLEY,MITT ROMNEY,10232,2
2016,INDIANA,WHITLEY,DONALD TRUMP,11358,1
2016,KENTUCKY,WHITLEY,DONALD TRUMP,11312,2
2020,INDIANA,WHITLEY,DONALD J TRUMP,12862,1
2020,KENTUCKY,WHITLEY,DONALD J TRUMP,12567,2
2000,WASHINGTON,WHITMAN,GEORGE W. BUSH,9003,1
2000,WASHINGTON,WHITMAN,AL GORE,6509,2
2004,WASHINGTON,WHITMAN,GEORGE W. BUSH,9397,1
2004,WASHINGTON,WHITMAN,JOHN KERRY,8287,2
2008,WASHINGTON,WHITMAN,BARACK OBAMA,9070,1
2008,WASHINGTON,WHITMAN,JOHN MCCAIN,8104,2
2012,WASHINGTON,WHITMAN,MITT ROMNEY,8507,1
2012,WASHINGTON,WHITMAN,BARACK OBAMA,8037,2
2016,WASHINGTON,WHITMAN,HILLARY CLINTON,8146,1
2016,WASHINGTON,WHITMAN,DONALD TRUMP,7403,2
2020,WASHINGTON,WHITMAN,JOSEPH R BIDEN JR,11184,1
2020,WASHINGTON,WHITMAN,DONALD J TRUMP,9067,2
2000,MONTANA,WIBAUX,GEORGE W. BUSH,369,1
2000,MONTANA,WIBAUX,AL GORE,121,2
2004,MONTANA,WIBAUX,GEORGE W. BUSH,407,1
2004,MONTANA,WIBAUX,JOHN KERRY,144,2
2008,MONTANA,WIBAUX,JOHN MCCAIN,379,1
2008,MONTANA,WIBAUX,BARACK OBAMA,146,2
2012,MONTANA,WIBAUX,MITT ROMNEY,421,1
2012,MONTANA,WIBAUX,BARACK OBAMA,98,2
2016,MONTANA,WIBAUX,DONALD TRUMP,463,1
2016,MONTANA,WIBAUX,HILLARY CLINTON,55,2
2020,MONTANA,WIBAUX,DONALD J TRUMP,516,1
2020,MONTANA,WIBAUX,JOSEPH R BIDEN JR,77,2
2000,TEXAS,WICHITA,GEORGE W. BUSH,27802,1
2000,TEXAS,WICHITA,AL GORE,14108,2
2004,TEXAS,WICHITA,GEORGE W. BUSH,32472,1
2004,TEXAS,WICHITA,JOHN KERRY,12819,2
2008,TEXAS,WICHITA,JOHN MCCAIN,31731,1
2008,TEXAS,WICHITA,BARACK OBAMA,13868,2
2012,TEXAS,WICHITA,MITT ROMNEY,29812,1
2012,TEXAS,WICHITA,BARACK OBAMA,10525,2
2016,TEXAS,WICHITA,DONALD TRUMP,27631,1
2016,TEXAS,WICHITA,HILLARY CLINTON,8770,2
2020,TEXAS,WICHITA,DONALD J TRUMP,32069,1
2020,TEXAS,WICHITA,JOSEPH R BIDEN JR,13161,2
2000,MARYLAND,WICOMICO,GEORGE W. BUSH,16338,1
2000,MARYLAND,WICOMICO,AL GORE,14469,2
2004,MARYLAND,WICOMICO,GEORGE W. BUSH,21998,1
2004,MARYLAND,WICOMICO,JOHN KERRY,15137,2
2008,MARYLAND,WICOMICO,JOHN MCCAIN,21849,1
2008,MARYLAND,WICOMICO,BARACK OBAMA,19436,2
2012,MARYLAND,WICOMICO,MITT ROMNEY,21764,1
2012,MARYLAND,WICOMICO,BARACK OBAMA,19635,2
2016,MARYLAND,WICOMICO,DONALD TRUMP,22198,1
2016,MARYLAND,WICOMICO,HILLARY CLINTON,18050,2
2020,MARYLAND,WICOMICO,DONALD J TRUMP,11294,1
2020,MARYLAND,WICOMICO,JOSEPH R BIDEN JR,7382,2
2000,TEXAS,WILBARGER,GEORGE W. BUSH,3138,1
2000,TEXAS,WILBARGER,AL GORE,1356,2
2004,TEXAS,WILBARGER,GEORGE W. BUSH,3685,1
2004,TEXAS,WILBARGER,JOHN KERRY,1284,2
2008,TEXAS,WILBARGER,JOHN MCCAIN,3283,1
2008,TEXAS,WILBARGER,BARACK OBAMA,1196,2
2012,TEXAS,WILBARGER,MITT ROMNEY,2956,1
2012,TEXAS,WILBARGER,BARACK OBAMA,971,2
2016,TEXAS,WILBARGER,DONALD TRUMP,3166,1
2016,TEXAS,WILBARGER,HILLARY CLINTON,809,2
2020,TEXAS,WILBARGER,DONALD J TRUMP,3524,1
2020,TEXAS,WILBARGER,JOSEPH R BIDEN JR,956,2
2000,ALABAMA,WILCOX,AL GORE,3444,1
2000,ALABAMA,WILCOX,GEORGE W. BUSH,1661,2
2004,ALABAMA,WILCOX,JOHN KERRY,3838,1
2004,ALABAMA,WILCOX,GEORGE W. BUSH,1834,2
2008,ALABAMA,WILCOX,BARACK OBAMA,4612,1
2008,GEORGIA,WILCOX,JOHN MCCAIN,2159,2
2012,ALABAMA,WILCOX,BARACK OBAMA,4868,1
2012,GEORGIA,WILCOX,MITT ROMNEY,2053,2
2016,ALABAMA,WILCOX,HILLARY CLINTON,4339,1
2016,GEORGIA,WILCOX,DONALD TRUMP,2096,2
2020,ALABAMA,WILCOX,JOSEPH R BIDEN JR,4048,1
2020,ALABAMA,WILCOX,DONALD J TRUMP,1833,2
2000,NORTH CAROLINA,WILKES,GEORGE W. BUSH,16826,1
2000,NORTH CAROLINA,WILKES,AL GORE,7226,2
2004,NORTH CAROLINA,WILKES,GEORGE W. BUSH,19197,1
2004,NORTH CAROLINA,WILKES,JOHN KERRY,7862,2
2008,NORTH CAROLINA,WILKES,JOHN MCCAIN,20288,1
2008,NORTH CAROLINA,WILKES,BARACK OBAMA,8934,2
2012,NORTH CAROLINA,WILKES,MITT ROMNEY,20515,1
2012,NORTH CAROLINA,WILKES,BARACK OBAMA,8148,2
2016,NORTH CAROLINA,WILKES,DONALD TRUMP,23752,1
2016,NORTH CAROLINA,WILKES,HILLARY CLINTON,6638,2
2020,NORTH CAROLINA,WILKES,DONALD J TRUMP,15823,1
2020,NORTH CAROLINA,WILKES,DONALD J TRUMP,9366,2
2000,MINNESOTA,WILKIN,GEORGE W. BUSH,2032,1
2000,MINNESOTA,WILKIN,AL GORE,1046,2
2004,MINNESOTA,WILKIN,GEORGE W. BUSH,2303,1
2004,MINNESOTA,WILKIN,JOHN KERRY,1169,2
2008,MINNESOTA,WILKIN,JOHN MCCAIN,1786,1
2008,MINNESOTA,WILKIN,BARACK OBAMA,1550,2
2012,MINNESOTA,WILKIN,MITT ROMNEY,1884,1
2012,MINNESOTA,WILKIN,BARACK OBAMA,1258,2
2016,MINNESOTA,WILKIN,DONALD TRUMP,2129,1
2016,MINNESOTA,WILKIN,HILLARY CLINTON,893,2
2020,MINNESOTA,WILKIN,DONALD J TRUMP,2328,1
2020,MINNESOTA,WILKIN,JOSEPH R BIDEN JR,1026,2
2000,MISSISSIPPI,WILKINSON,AL GORE,2551,1
2000,GEORGIA,WILKINSON,AL GORE,1884,2
2004,MISSISSIPPI,WILKINSON,JOHN KERRY,2794,1
2004,GEORGIA,WILKINSON,GEORGE W. BUSH,2261,2
